week,day,period_1,period_2,period_3,period_4,period_5,period_6
30,Thursday,ma-g7-mathematics-u09-l05,ma-g7-english-language-arts-u09-l05,ma-g7-social-studies-u08-l05,ma-g7-arts-and-music-u05-l12,ma-g7-ready-for-life-u05-l06,
30,Friday,ma-g7-mathematics-u09-l06,ma-g7-english-language-arts-u09-l06,ma-g7-science-u08-l06,ma-g7-social-studies-u08-l06,ma-g7-physical-education-u08-l06,
31,Monday,ma-g7-mathematics-u09-l07,ma-g7-english-language-arts-u09-l07,ma-g7-science-u08-l07,ma-g7-physical-education-u08-l07,ma-g7-financial-literacy-u06-l01,
31,Tuesday,ma-g7-mathematics-u09-l08,ma-g7-english-language-arts-u09-l08,ma-g7-social-studies-u08-l07,ma-g7-arts-and-music-u06-l01,ma-g7-technology-u06-l01,
31,Wednesday,ma-g7-mathematics-u09-l09,ma-g7-english-language-arts-u09-l09,ma-g7-science-u08-l08,ma-g7-physical-education-u08-l08,ma-g7-health-u06-l01,
31,Thursday,ma-g7-mathematics-u09-l10,ma-g7-english-language-arts-u09-l10,ma-g7-social-studies-u08-l08,ma-g7-arts-and-music-u06-l02,ma-g7-ready-for-life-u06-l01,
31,Friday,ma-g7-mathematics-u09-l11,ma-g7-english-language-arts-u09-l11,ma-g7-science-u08-l09,ma-g7-social-studies-u08-l09,ma-g7-physical-education-u08-l09,
32,Monday,ma-g7-mathematics-u09-l12,ma-g7-english-language-arts-u09-l12,ma-g7-science-u08-l10,ma-g7-physical-education-u08-l10,ma-g7-financial-literacy-u06-l02,
32,Tuesday,ma-g7-mathematics-u09-l13,ma-g7-english-language-arts-u09-l13,ma-g7-social-studies-u08-l10,ma-g7-arts-and-music-u06-l03,ma-g7-technology-u06-l02,
32,Wednesday,ma-g7-mathematics-u09-l14,ma-g7-english-language-arts-u09-l14,ma-g7-science-u08-l11,ma-g7-physical-education-u08-l11,ma-g7-health-u06-l02,
32,Thursday,ma-g7-mathematics-u09-l15,ma-g7-english-language-arts-u09-l15,ma-g7-social-studies-u08-l11,ma-g7-arts-and-music-u06-l04,ma-g7-ready-for-life-u06-l02,
32,Friday,ma-g7-mathematics-u09-l16,ma-g7-english-language-arts-u09-l16,ma-g7-science-u08-l12,ma-g7-social-studies-u08-l12,ma-g7-physical-education-u08-l12,
33,Monday,ma-g7-mathematics-u09-l17,ma-g7-english-language-arts-u09-l17,ma-g7-science-u09-l01,ma-g7-physical-education-u09-l01,ma-g7-financial-literacy-u06-l03,
33,Tuesday,ma-g7-mathematics-u09-l18,ma-g7-english-language-arts-u09-l18,ma-g7-social-studies-u09-l01,ma-g7-arts-and-music-u06-l05,ma-g7-technology-u06-l03,
33,Wednesday,ma-g7-mathematics-u10-l01,ma-g7-english-language-arts-u10-l01,ma-g7-science-u09-l02,ma-g7-physical-education-u09-l02,ma-g7-health-u06-l03,
33,Thursday,ma-g7-mathematics-u10-l02,ma-g7-english-language-arts-u10-l02,ma-g7-social-studies-u09-l02,ma-g7-arts-and-music-u06-l06,ma-g7-ready-for-life-u06-l03,
33,Friday,ma-g7-mathematics-u10-l03,ma-g7-english-language-arts-u10-l03,ma-g7-science-u09-l03,ma-g7-social-studies-u09-l03,ma-g7-physical-education-u09-l03,
34,Monday,ma-g7-mathematics-u10-l04,ma-g7-english-language-arts-u10-l04,ma-g7-science-u09-l04,ma-g7-physical-education-u09-l04,ma-g7-financial-literacy-u06-l04,
34,Tuesday,ma-g7-mathematics-u10-l05,ma-g7-english-language-arts-u10-l05,ma-g7-social-studies-u09-l04,ma-g7-arts-and-music-u06-l07,ma-g7-technology-u06-l04,
34,Wednesday,ma-g7-mathematics-u10-l06,ma-g7-english-language-arts-u10-l06,ma-g7-science-u09-l05,ma-g7-physical-education-u09-l05,ma-g7-health-u06-l04,
34,Thursday,ma-g7-mathematics-u10-l07,ma-g7-english-language-arts-u10-l07,ma-g7-social-studies-u09-l05,ma-g7-arts-and-music-u06-l08,ma-g7-ready-for-life-u06-l04,
34,Friday,ma-g7-mathematics-u10-l08,ma-g7-english-language-arts-u10-l08,ma-g7-science-u09-l06,ma-g7-social-studies-u09-l06,ma-g7-physical-education-u09-l06,
35,Monday,ma-g7-mathematics-u10-l09,ma-g7-english-language-arts-u10-l09,ma-g7-science-u09-l07,ma-g7-physical-education-u09-l07,ma-g7-financial-literacy-u06-l05,
35,Tuesday,ma-g7-mathematics-u10-l10,ma-g7-english-language-arts-u10-l10,ma-g7-social-studies-u09-l07,ma-g7-arts-and-music-u06-l09,ma-g7-technology-u06-l05,
35,Wednesday,ma-g7-mathematics-u10-l11,ma-g7-english-language-arts-u10-l11,ma-g7-science-u09-l08,ma-g7-physical-education-u09-l08,ma-g7-health-u06-l05,
35,Thursday,ma-g7-mathematics-u10-l12,ma-g7-english-language-arts-u10-l12,ma-g7-social-studies-u09-l08,ma-g7-arts-and-music-u06-l10,ma-g7-ready-for-life-u06-l05,
35,Friday,ma-g7-mathematics-u10-l13,ma-g7-english-language-arts-u10-l13,ma-g7-science-u09-l09,ma-g7-social-studies-u09-l09,ma-g7-physical-education-u09-l09,
36,Monday,ma-g7-mathematics-u10-l14,ma-g7-english-language-arts-u10-l14,ma-g7-science-u09-l10,ma-g7-physical-education-u09-l10,ma-g7-financial-literacy-u06-l06,
36,Tuesday,ma-g7-mathematics-u10-l15,ma-g7-english-language-arts-u10-l15,ma-g7-social-studies-u09-l10,ma-g7-arts-and-music-u06-l11,ma-g7-technology-u06-l06,
36,Wednesday,ma-g7-mathematics-u10-l16,ma-g7-english-language-arts-u10-l16,ma-g7-science-u09-l11,ma-g7-physical-education-u09-l11,ma-g7-health-u06-l06,
36,Thursday,ma-g7-mathematics-u10-l17,ma-g7-english-language-arts-u10-l17,ma-g7-social-studies-u09-l11,ma-g7-arts-and-music-u06-l12,ma-g7-ready-for-life-u06-l06,
36,Friday,ma-g7-mathematics-u10-l18,ma-g7-english-language-arts-u10-l18,ma-g7-science-u09-l12,ma-g7-social-studies-u09-l12,ma-g7-physical-education-u09-l12,
